id,collection,advisor,author,department,secondreader,date,abstract,service,identifier,publisher,subject,title,type,discipline,level,degree_name
49867,10945/17||10945/11539,"Whitaker, Lyn R.","Fulton, Brandon M.",,"House, Jeffrey B.",2016-06,"The Army relies on Zone Improvement Plan (ZIP) codes to assign recruiters and to track recruit production. ZIP codes have different densities of potential recruits; the Army uses commercial market segmentation data to analyze markets and past accessions to assign recruiters and quotas to maximize production. We use 347 variables from publicly available United States government agencies for each of 34,007 ZIP codes to cluster ZIP codes into similar groups. We use between 2 and 18 clusters for each of five categories of data, using three dissimilarity calculation methods, and three clustering algorithms. Using national recruiting leads as a proxy for market potential, we find the best cluster assignment by fitting Poisson regressions predicting leads from ZIP code cluster membership. Economic cluster assignments predict leads with a pseudo R-squared value of 0.69, reducing the need for United States Army Recruiting Command to rely on proprietary data with 66 market segments per ZIP code for market analysis and predicting recruiting potential. These 18 clusters provide an easier tool for recruiting commanders. Additionally, these clusters offer a new method of identifying potentially high-production ZIP codes without using previous accessions and the highly correlated number of recruiters assigned as predictor variables.","Major, United States Army",http://hdl.handle.net/10945/49463,"Monterey, California: Naval Postgraduate School",recruiting||tree clusters||unsupervised,Determining market categorization of United States ZIP codes for purposes of Army recruiting,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49743,10945/17,"Salmer_„în, Javier","Martinez, Nicolas L.",,"McGuiness, Robert M.",2016-06,"This research creates the Marine Corps Equipment Redistribution Model (MCERM). MCERM is a mathematical optimization model that can be used as a decision-support prototype to guide Marine Forces Reserve (MARFORRES) in planning asset redistribution to satisfy subordinate units' training and equipping requirements. MCERM implements a mixed-integer, linear program that selects sets of equipment transfers between units in order to raise overall readiness for priority units. MCERM optimally minimizes both (a) a function of transit distance and equipment size to transfer equipment to a unit (used as a surrogate for actual transfer cost), and (b) inventory shortages. MCERM allows planners to influence recommended transfers by (a) placing a weighted penalty on transfers that cross between commands, and (b) increasing the shortage penalty over the transfer penalty. It also enables the use of substitute equipment at an additional penalty. A realistic test case analyzes all equipment to unit ownerships reported by MARFORRES on April 22, 2016. From the results, MCERM's recommended transfers decreased the overall shortage penalty by a large margin while incurring a relatively low transfer penalty. This prototype enables planners to review the entire MARFORRES equipment redistribution problem, select optimized solutions, and perform fast sensitivity analysis on the competing objectives.","Major, United States Marine Corps",http://hdl.handle.net/10945/49339,"Monterey, California: Naval Postgraduate School",Optimization||Marine Forces Reserve||redistribution||reallocation||equipment supply||logistics,Optimization of Marine Forces Reserve equipment redistribution,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49746,10945/17||10945/11539,"Koyak, Robert A.","McCaleb. Ben E., III",,"Seagren, Chad W.",2016-06,"This thesis investigates how Marine recruit information available at entry can be used to predict which occupational field (OCCFLD) is best suited to an individual and if a Marine successfully completes the first term of enlistment. Multinomial regression models are developed to calculate estimated probabilities that a given recruit will attain United States Marine Corps (USMC) Computed Reenlistment Tiers I, II, III, or IV in a particular OCCFLD. Optimization of OCCFLD assignment based on the developed models illustrates the potential value of insight gained from recruit information available prior to enlistment. The relationship of recruit characteristics available prior to enlistment and the USMC Computed Tier Score assigned in the last year of a Marine's first enlistment is dependent upon the OCCFLD assigned. We recommend identifying OCCFLDs with the highest estimated probabilities of Tier I or Tier II attainment at the recruitment phase. Providing recruits and recruiters a tool that provides estimated probabilities of attaining Tier I or Tier II in descending order for each OCCFLD during initial assignment has the potential to increase the caliber of Marines across all OCCFLDs and to aid in assessing the current OCCFLD assignment practices.","Captain, United States Marine Corps",http://hdl.handle.net/10945/49342,"Monterey, California: Naval Postgraduate School",assignment||ASVAB||first term enlistment||MOS||Multinomial Elastinet Regression||OCCFLD,Identifying U.S. Marine Corps recruit characteristics that correspond to success in specific occupational fields,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49754,10945/17,"Whitaker, Lyn R.||Alt, Jonathan","Moffitt, James D.",,"House, Jeffrey B.",2016-06,"This thesis develops a data-driven statistical model capable of identifying regional factors that affect the number of United States Army Recruiting Command (USAREC) accessions in Potential Rating Index Zip Code Market New Evolution (PRIZM NE) market segments. This model will aid USAREC G2 analysts involved in conducting recruiting market intelligence. Market intelligence helps the commander visualize the performance of subordinate units within their market and provides recommendations for use and expansion. This thesis first attempts to establish that a single high-assessing PRIZM NE market segment, Segment 32, does not access recruits at the same rate across regions. This thesis then develops general linear regression and gradient boosted decision tree models to determine the regional factors that contribute to the variance of recruit production. In particular, the gradient boosted decision tree delivers predictive results that allow analysts to identify regions that have underperforming accession rates compared to the national average. The recommendation of this thesis is that the USAREC implement the gradient boosted decision trees for use in G2 market analysis.","Captain, United States Army",http://hdl.handle.net/10945/49350,"Monterey, California: Naval Postgraduate School",recruiting||market segmentation||PRIZM NE||Poisson regression||gradient boosted decision tree,Analysis of regional effects on market segment production,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49755,10945/17,"Singham, Dashi I.||House, Jeffrey B.","Mohamad Rais, Hasnan bin",,"McLemore, Connor",2016-06,"This thesis describes the analysis used to determine personnel requirements for the Malaysian Army's S61A-4 utility helicopter fleet. We use discrete-event simulation (DES) to model maintenance activities in the Malaysian Army Aviation (MAA) fleet in order to evaluate the impact of maintenance crew resources on helicopter availability. Our model simulates the normal daily operating activities in the MAA environment and includes the size of the fleet, fleet flying operations, and maintenance activities including daily inspection, rectification, and scheduled maintenance. A ranking and selection (R&S) method is used to select the best system or a subset that contains the best system design from the competing alternatives. The outputs of this paper provide the Malaysian Army Human Resource department an ability to allocate the appropriate number of personnel for the new fleet.","Major, Malaysian Army",http://hdl.handle.net/10945/49351,"Monterey, California: Naval Postgraduate School",discrete-event simulation||Malaysian Army Aviation||MAA||helicopter fleet||maintenance||personnel requirements||ranking and selection||subsets,Using discrete-event simulation to analyze personnel requirements for the Malaysian Army's new utility helicopter fleet,Thesis,Operation Research,Masters,Master of  Science in Operation Research
49781,10945/17,"Royset, Johannes O.","Sabol, John J., III",,"Buttrey, Samuel E.",2016-06,"Analysts often concern themselves with the tail regions of distributions, sometimes called extreme events, in order to measure or predict risk. One risk metric, the superquantile, possesses several properties that make it particularly well-suited for risk quantification. Observable data, however, often lack information on extreme events due to various resource constraints, resulting in sample superquantile estimates that often undervalue the true level of risk. By leveraging the dual relationship between superquantiles and superexpectations, we apply constrained optimization on second-order epi-splines to arrive at incrementally better approximations of superquantile values. With these improved estimates, we incorporate additional constraints to improve the fidelity of density estimates in tail regions. We limit our investigation to data with heavy tails, where risk quantification is typically the most difficult. Demonstrations are provided in the form of a known distributional benchmark, historical financial data, and a fluid dynamics model used in the development of a high-speed naval vessel. Results show that accurate quantile and superquantile constraint implementation, in conjunction with empirical statistics and distributional knowledge, can improve tail density estimates by up to 15% for small samples of various heavy-tailed distributions.","Captain, United States Marine Corps",http://hdl.handle.net/10945/49377,"Monterey, California: Naval Postgraduate School",probability density estimation||epi-splines||optimization||risk quantification||superquantiles||non-parametric statistics,Dual approach to superquantile estimation and applications to density fitting,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49788,10945/17,"Lucas, Thomas W.","Sikandar, Raja I.",,"Kline, Jeffrey E.",2016-06,"The defense of a naval ship berthed in a harbor is a complex task affected by many factors. These include the fishing vessel density close to the ship and the challenge of discriminating neutral vessels from threats. A naval vessel berthed at harbor is more susceptible to attack than a vessel in open seas. The chances of detecting and countering a terrorist boat vary widely depending on several factors, including early identification of the attack and weapons available. This research uses modeling in Map Aware Non-uniform Automata (MANA) to analyze the protection measures adopted by naval vessels against terrorist boats. Design of experiments is used to efficiently generate data, which is then replicated using high-performance computing, to address a wide range of possibilities and outcomes. The data generated is analyzed using a variety of techniques. The study concludes that lethality of Blue weapons is the most important factor in determining Blue's ability to counter a Red suicide boat attack. Additionally, the tactic of firing a warning shot followed by disabling shots within the exclusion zone decreases Blue's success probability. Finally, an exclusion zone of at least 60 meters that is enforced with a patrol boat is recommended.","Lieutenant Commander, Pakistan Navy",http://hdl.handle.net/10945/49384,"Monterey, California: Naval Postgraduate School",simulation||agent-based||design of experiments||force protection||ship self-defense,Analysis of protection measures for naval vessels berthed at harbor against terrorist attacks,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49805,10945/17,"Buttrey, Samuel E.||Alt, Jonathan K.","Thompson, Justin A.",,"House, Jeffrey B.",2016-06,"In October 2015, the United States Transportation Command (USTRANSCOM) implemented a new global shipping performance assessment method. USTRANSCOM assesses shipping lane performance by analyzing the distribution of the start-to-finish shipping time for all requisitions during a given time period and comparing the 85th quantile to an established time standard for the lane. The command assesses overall network performance using the total number of shipping lanes that perform better than the standard. Previously, USTRANSCOM grouped shipping lanes according to shipping method and destination with no consideration given the origin. The new method includes the origin information. Using parametric and non-parametric statistical tests and data analysis techniques, we show that the addition of requisition origin information enables more accurate analysis of the shipping network. Optimization provides node improvement recommendations. We find that focusing improvement on commercial air and military air shipments provide the greatest overall network performance increase.","Captain, United States Army",http://hdl.handle.net/10945/49401,"Monterey, California: Naval Postgraduate School",supply chain metrics||distribution networks||requisition shipping time||strategic distribution database||nonparametric analysis||linear optimization,Improving Department of Defense global distribution performance through network analysis,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49856,10945/17,"Salmeron, Javier","Ersoz, Tacettin",,"Craparo, Emily",2016-06,"Naval Supply Systems Command (NAVSUP) supports Navy, Marine Corps, Joint and Allied Forces with their inventory of more than 430,000 items worth $21 billion using several distribution sites. Choosing the optimum order-point and order-quantity for each item is important to meet the stochastic demand while satisfying multiple restrictions such as budget and maximum number of orders. The Site Demand-Based Level Inventory Optimization Model (SIOM) is a mixed-integer, linear program developed at the Naval Postgraduate School to provide NAVSUP planners with guidance on this complex problem. Ongoing tests have been successful, but SIOM's computational run times are long. This thesis introduces a new, faster reformulation (SIOMsQ) that approximates the solution of the same problem by reducing the possible candidate sets of order-points and order-quantities for each item. We find that the solutions suggested by SIOMsQ are better than or very close to those of SIOM in test cases provided by NAVSUP, with substantially shorter computational times. Therefore, we recommend using SIOMsQ versus SIOM.","Lieutenant Junior Grade, Turkish Navy",http://hdl.handle.net/10945/49452,"Monterey, California: Naval Postgraduate School",inventory management||inventory optimization||order points||order quantities||Naval Supply Systems Command||demand based item||mixed-integer linear problem,A new approach to site demand-based level inventory optimization,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49866,10945/17,"Whitaker, Lyn R.","Friedlein, James R",,"Whiteside, Craig A.",2016-06,"The purpose of this study is to develop methods to accelerate and enhance the analysis of Islamic State Movement text documents. We analyze a unique database collected by Dr. Craig Whiteside, which is comprised of nearly 3,000 open-source translated press releases from 2003Íê2014. Using Natural Language Processing tools, the text data is aggregated into a corpus and processed based on document term structure and frequency. In order to reduce analyst workload, we validate Whiteside's manual analysis and construct cross-validated generalized linear models to automatically classify documents into one of seven types. A cascade classification model outperforms all other models with a mean cross-validated misclassification rate of 5.71 percent. Islamic State Movement operational summaries are classified as type Celebrate. We develop a layered algorithm based on regular expressions and location searches to extract critical information from each attack event and display the details on a map using a web-based interactive R Shiny application. With the ability to automatically classify Islamic State Movement text documents and visually interact with the data contained within those classified as type Celebrate, analysts and decision makers are able to process and understand large amounts of text data more quickly and effectively.","Major, United States Marine Corps",http://hdl.handle.net/10945/49462,"Monterey, California: Naval Postgraduate School",Islamic State Movement||Islamic State of Iraq||ISIS||Islamic State||Natural Language Processing||text mining||corpus||generalized linear model||cascade||R Shiny||leaflet||data visualization,The Islamic State battle plan: press release natural language processing,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49883,10945/17,"Royset, Johannes O.","Hall, Daniel M.",,"Alt, Jon",2016-06,"We evaluate Anseri, a commercial text analytics software, and its ability to assist a military intelligence analyst in the planning phase of major operations. The intelligence cycle involves extensive, timely, and detailed analysis of the operating environment. This requires a lot of reading by intelligence analysts to fully analyze the content. Tools that automate the initial summarization of the topic themes in a large body of text reduce the amount of time spent reading the material and focus the analyst's research efforts by providing a method to prioritize documents based on their relevance to the research topic. Anseri's utility is tested on a corpus of Islamic State press releases to demonstrate the analyst's ability to quickly gain a basic understanding of the thematic nature of the corpus and prioritize deeper research.","Captain, United States Marine Corps",http://hdl.handle.net/10945/49479,"Monterey, California: Naval Postgraduate School",topic analysis||intelligence||text analytics||Islamic State,Applications of text analytics in the intelligence community,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49736,10945/17,"Carlyle, W. Matthew","Lazzaro, Gary L.",,,2016-06,"The optimal defense and operation of networks against worst-case attack is an important problem for military analysts. We review development of existing solutions for the Defender-Attacker-Defender (DAD) tri-level optimization model and investigate new applications and solution procedures. We develop an implicit enumeration algorithm that incorporates addition of new defenses as an alternative solution method for the DAD model. Our testing demonstrates that implicit enumeration can efficiently generate all equivalent optimal or near-optimal solutions for DAD problems. When budgets for network defense or attack are uncertain, decision makers usually prioritize defenses in nested lists. We quantify the costs of various strategies for nesting of defenses. We design a parametric programming formulation of the DAD model to find nested defenses that have the smallest cost difference from optimal non-nested solutions. We create new solution procedures for the DAD constrained shortest path problem. We merge the attacker model with Lagrangian relaxation of the operator model into a single formulation that can obtain fast heuristic solutions. We combine our heuristic algorithm with traditional methods to obtain provably optimal or near-optimal solutions. We test our algorithms on medium and large networks, and our results show that our innovations can significantly outperform traditional nested decomposition.","Commander, United States Navy",http://hdl.handle.net/10945/49332,"Monterey, California: Naval Postgraduate School",Defender-attacker-defender||network optimization||tri-level optimization||implicit enumeration||nested defense||prioritized lists||constrained shortest path||minimum cost flow||algorithms||network defense||network interdiction||network modeling||system defense,Tri-level optimization algorithms for solving defender-attacker- defender network models,Thesis,Operations Research,Doctoral,Doctor of Philosophy in Operations Research
49782,10945/17,"Lin, Kyle Y.","Salin, Samet A.",,"Whitaker, Lyn R.",2016-06,"Throughout history, the Aegean Sea has been a sea of crisis. Today, Turkey and Greece--the two countries surrounding the Aegean Sea--continue to dispute several issues regarding the Aegean. The most significant dispute is over the sovereignty of several islands. This research presents a method to produce an arbitration solution to allocate these disputed islands between the two countries. We identify 39 disputed islands and six important attributes for each island, including perimeter, area, population, distance to Greece, distance to Turkey, and territorial water area. After applying spatial analysis to two open-source maps, we apply utility theory, the Analytical Hierarchy Process, and the Nash arbitration scheme to propose an arbitration solution. The arbitration solution tends to allocate to Turkey those islands with larger areas of territorial waters and greater proximity to the Turkish mainland, and allocate to Greece those islands with larger population and greater proximity to the Greek mainland.","Lieutenant Junior Grade, Turkish Naval Forces",http://hdl.handle.net/10945/49378,"Monterey, California: Naval Postgraduate School",spatial analysis||game theory||Nash arbitration scheme||Aegean||disputed islands||territorial waters||utilization||Turkey||Greece||bargaining problem||analytical hierarchy process,A spatial analysis and game theoretical approach over the disputed islands in the Aegean Sea,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49858,10945/17,"Atkinson, Michael","Ardohain, Christopher M.",,"McLemore, Connor",2016-06,"More than half of all U.S. casualties in Iraq and Afghanistan were caused by improvised explosive devices (IEDs). Despite the spending of over $75 billion to combat this threat, intelligence analysts still lack efficient tools to conduct IED pattern analysis. This thesis evaluates sinusoidal models for effectiveness in assisting in the identification of IED patterns. We formulate three models to test against IED patterns encountered in Iraq and Afghanistan: the Hawkes point process, the non-linear optimization of a sine function, and discrete Fourier transforms (DFT). Non-linear optimization and DFT models both out-perform a mean inter-arrival model when applied to representative IED patterns. We also applied these models against portions of an Iraq IED dataset using a rolling horizon forecast. Lastly, we test model performance when applied to patterns identified from the Iraq dataset. We conclude that although there is not a silver bullet for IED pattern detection, the use of these models in IED environments has the potential to reduce the amount of time and effort intelligence analysts expend when identifying IED patterns. We recommend incorporating these models into a graphic user interface usable by intelligence analysts responsible for IED pattern recognition.","Major, United States Army",http://hdl.handle.net/10945/49454,"Monterey, California: Naval Postgraduate School",improvised explosive device||IED||Hawkes point process||discrete Fourier transforms||pattern recognition||rolling horizon forecast,IED pattern recognition using sinusoidal models,Thesis,Operations Research,Masters,Master of  Science in Operations Research
